"Timestamp","Por favor, elige una comunidad autónoma.","¿Cuánta gente conoces en ese área geográfica?","Por lo que sabes, ¿cuánta de esta gente ha presentado síntomas compatible con COVID-19 (o han sido diagnosticados con la enfermedad)?"
"2020/03/22 12:09:11 PM GMT+1","Comunidad de Madrid","200","3"
"2020/03/22 12:09:12 PM GMT+1","Comunidad de Madrid","100","6"
"2020/03/22 12:09:20 PM GMT+1","Andalucía","60","0"
"2020/03/22 12:10:38 PM GMT+1","Canarias","300","0"
"2020/03/22 12:13:58 PM GMT+1","Comunidad de Madrid","100","2"
"2020/03/22 12:14:30 PM GMT+1","Andalucía","1000","0"
"2020/03/22 12:23:34 PM GMT+1","Comunidad de Madrid","100","7"
"2020/03/22 12:27:14 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/22 12:27:57 PM GMT+1","Comunidad de Madrid","50","3"
"2020/03/22 12:29:05 PM GMT+1","Comunidad de Madrid","70","7"
"2020/03/22 12:30:07 PM GMT+1","Comunidad de Madrid","80","10"
"2020/03/22 12:30:19 PM GMT+1","Comunidad Valenciana","20","0"
"2020/03/22 12:30:31 PM GMT+1","Castilla-La Mancha","10","0"
"2020/03/22 12:32:08 PM GMT+1","Andalucía","50","3"
"2020/03/22 12:32:47 PM GMT+1","Comunidad Valenciana","50","0"
"2020/03/22 12:34:18 PM GMT+1","Comunidad de Madrid","100","20"
"2020/03/22 12:37:47 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/22 12:38:41 PM GMT+1","Comunidad Valenciana","500","1"
"2020/03/22 12:39:01 PM GMT+1","Comunidad Valenciana","12","0"
"2020/03/22 12:39:30 PM GMT+1","Cataluña","200","0"
"2020/03/22 12:42:16 PM GMT+1","Comunidad Valenciana","100","2"
"2020/03/22 12:43:28 PM GMT+1","Castilla-La Mancha","300","3"
"2020/03/22 12:43:35 PM GMT+1","Castilla-La Mancha","300","5"
"2020/03/22 12:45:23 PM GMT+1","Cataluña","70","0"
"2020/03/22 12:47:03 PM GMT+1","Comunidad de Madrid","100","3"
"2020/03/22 12:51:56 PM GMT+1","Comunidad de Madrid","100","8"
"2020/03/22 12:53:07 PM GMT+1","Comunidad de Madrid","50","0"
"2020/03/22 12:53:24 PM GMT+1","Comunidad de Madrid","100","3"
"2020/03/22 12:57:50 PM GMT+1","Castilla-La Mancha","100","1"
"2020/03/22 12:59:05 PM GMT+1","Comunidad de Madrid","150","4"
"2020/03/22 12:59:48 PM GMT+1","Comunidad de Madrid","100","18"
"2020/03/22 12:59:49 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/22 1:01:52 PM GMT+1","Comunidad de Madrid","2000","2"
"2020/03/22 1:02:12 PM GMT+1","Comunidad de Madrid","70","0"
"2020/03/22 1:05:06 PM GMT+1","Comunidad de Madrid","1000","50"
"2020/03/22 1:19:02 PM GMT+1","Comunidad de Madrid","200","5"
"2020/03/22 1:19:33 PM GMT+1","Comunidad de Madrid","50","1"
"2020/03/22 1:21:06 PM GMT+1","Andalucía","20","0"
"2020/03/22 1:21:55 PM GMT+1","Comunidad de Madrid","200","15"
"2020/03/22 1:25:03 PM GMT+1","Comunidad de Madrid","50","0"
"2020/03/22 1:28:00 PM GMT+1","Comunidad de Madrid","300","5"
"2020/03/22 1:29:52 PM GMT+1","Andalucía","80","0"
"2020/03/22 1:36:19 PM GMT+1","Comunidad de Madrid","100","3"
"2020/03/22 1:49:08 PM GMT+1","Andalucía","150","2"
"2020/03/22 1:51:45 PM GMT+1","Comunidad de Madrid","120","18"
"2020/03/22 1:56:24 PM GMT+1","Andalucía","40","0"
"2020/03/22 1:59:41 PM GMT+1","Comunidad de Madrid","70","5"
"2020/03/22 2:00:47 PM GMT+1","Andalucía","100","0"
"2020/03/22 2:01:40 PM GMT+1","Andalucía","100","1"
"2020/03/22 2:02:06 PM GMT+1","Andalucía","100","4"
"2020/03/22 2:05:19 PM GMT+1","Comunidad de Madrid","100","10"
"2020/03/22 2:11:35 PM GMT+1","Cataluña","100","0"
"2020/03/22 2:13:48 PM GMT+1","Andalucía","100","2"
"2020/03/22 2:20:33 PM GMT+1","Comunidad de Madrid","100","3"
"2020/03/22 2:24:45 PM GMT+1","Castilla-La Mancha","200","6"
"2020/03/22 2:24:55 PM GMT+1","Comunidad de Madrid","200","6"
"2020/03/22 2:24:56 PM GMT+1","Comunidad de Madrid","120","10"
"2020/03/22 2:25:30 PM GMT+1","Todo el país","200","12"
"2020/03/22 2:27:38 PM GMT+1","Cataluña","60","0"
"2020/03/22 2:27:41 PM GMT+1","Comunidad de Madrid","150","0"
"2020/03/22 2:28:47 PM GMT+1","Comunidad de Madrid","200","1"
"2020/03/22 2:29:19 PM GMT+1","Castilla-La Mancha","200","2"
"2020/03/22 2:30:48 PM GMT+1","Comunidad de Madrid","200","2"
"2020/03/22 2:31:05 PM GMT+1","Castilla-La Mancha","100","0"
"2020/03/22 2:32:14 PM GMT+1","Comunidad de Madrid","300","0"
"2020/03/22 2:38:06 PM GMT+1","Comunidad de Madrid","100","6"
"2020/03/22 2:39:21 PM GMT+1","Comunidad de Madrid","100","4"
"2020/03/22 2:46:53 PM GMT+1","Comunidad de Madrid","500","0"
"2020/03/22 2:46:58 PM GMT+1","Comunidad de Madrid","200","2"
"2020/03/22 2:47:51 PM GMT+1","Comunidad de Madrid","300","10"
"2020/03/22 2:49:52 PM GMT+1","Andalucía","50","0"
"2020/03/22 2:50:06 PM GMT+1","Comunidad de Madrid","100","5"
"2020/03/22 2:51:12 PM GMT+1","Comunidad de Madrid","100","12"
"2020/03/22 2:51:53 PM GMT+1","Comunidad de Madrid","1000","2"
"2020/03/22 2:52:35 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/22 2:56:19 PM GMT+1","Castilla-La Mancha","6000","07"
"2020/03/22 2:56:24 PM GMT+1","Comunidad de Madrid","300","0"
"2020/03/22 2:57:53 PM GMT+1","Castilla-La Mancha","100","1"
"2020/03/22 3:04:29 PM GMT+1","Cataluña","100","0"
"2020/03/22 3:05:07 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/22 3:05:42 PM GMT+1","Comunidad de Madrid","100","02"
"2020/03/22 3:07:53 PM GMT+1","Comunidad de Madrid","150","4"
"2020/03/22 3:08:04 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/22 3:11:07 PM GMT+1","Comunidad de Madrid","100","2"
"2020/03/22 3:12:25 PM GMT+1","Comunidad de Madrid","50","4"
"2020/03/22 3:14:21 PM GMT+1","Comunidad de Madrid","200","10"
"2020/03/22 3:19:45 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/22 3:19:54 PM GMT+1","Andalucía","25","0"
"2020/03/22 3:21:19 PM GMT+1","Comunidad de Madrid","25","1"
"2020/03/22 3:21:22 PM GMT+1","Cantabria","100","1"
"2020/03/22 3:29:15 PM GMT+1","Andalucía","100","6"
"2020/03/22 3:32:41 PM GMT+1","Todo el país","100","0"
"2020/03/22 3:36:09 PM GMT+1","Comunidad de Madrid","50","0"
"2020/03/22 3:36:15 PM GMT+1","Comunidad de Madrid","30","2"
"2020/03/22 3:36:57 PM GMT+1","Comunidad de Madrid","70","6"
"2020/03/22 3:39:25 PM GMT+1","Cataluña","100","4"
"2020/03/22 3:43:30 PM GMT+1","Andalucía","50","0"
"2020/03/22 3:47:48 PM GMT+1","Comunidad de Madrid","30","2"
"2020/03/22 3:49:45 PM GMT+1","Comunidad de Madrid","100","2"
"2020/03/22 3:49:48 PM GMT+1","Todo el país","10","1"
"2020/03/22 4:06:00 PM GMT+1","Comunidad de Madrid","100","3"
"2020/03/22 4:07:17 PM GMT+1","Comunidad de Madrid","100","3"
"2020/03/22 4:07:51 PM GMT+1","Comunidad de Madrid","60","2"
"2020/03/22 4:13:12 PM GMT+1","Todo el país","50","1"
"2020/03/22 4:14:23 PM GMT+1","Comunidad de Madrid","50","1"
"2020/03/22 4:14:47 PM GMT+1","Todo el país","100","0"
"2020/03/22 4:23:48 PM GMT+1","Comunidad de Madrid","100","05"
"2020/03/22 4:27:21 PM GMT+1","Comunidad de Madrid","40","2"
"2020/03/22 4:29:04 PM GMT+1","Comunidad de Madrid","500","5"
"2020/03/22 4:30:30 PM GMT+1","Andalucía","15","0"
"2020/03/22 4:31:35 PM GMT+1","Comunidad de Madrid","50","1"
"2020/03/22 4:31:40 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/22 4:35:30 PM GMT+1","Comunidad de Madrid","150","5"
"2020/03/22 4:35:52 PM GMT+1","Comunidad de Madrid","10","2"
"2020/03/22 4:36:49 PM GMT+1","Comunidad de Madrid","50","2"
"2020/03/22 4:37:34 PM GMT+1","Comunidad de Madrid","100","3"
"2020/03/22 4:38:16 PM GMT+1","Comunidad de Madrid","70","4"
"2020/03/22 4:38:54 PM GMT+1","Comunidad de Madrid","100","2"
"2020/03/22 4:40:49 PM GMT+1","Comunidad de Madrid","1000","010"
