"","countrycode","regioncode","population_region","estprop_regs","meanprop_regs","sumreach_regs","meanprop_regs_agg","estprop_regs_agg","population_country","estprop_country","meanprop_country","sumreach_country","estprop_country_rhs","meanprop_country_rhs","sumreach_country_rhs","meanprop_country_agg","estprop_country_agg"
"1","US","USAK",731545,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"2","US","USAL",4903185,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"3","US","USAR",3017825,NA,NA,10,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"4","US","USAZ",7278717,NA,NA,25,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"5","US","USCA",39512223,0.0598086124401914,0.0477358490566038,418,0.0477358490566038,0.0598086124401914,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"6","US","USCO",5758736,NA,NA,30,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"7","US","USCT",3565287,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"8","US","USDC",705749,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"9","US","USDE",973764,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"10","US","USFL",21477737,0.0111111111111111,0.035,270,0.035,0.0111111111111111,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"11","US","USGA",10617423,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"12","US","USHI",1415872,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"13","US","USIA",3155070,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"14","US","USID",1787065,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"15","US","USIL",12671821,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"16","US","USIN",6732219,NA,NA,21,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"17","US","USKS",2913314,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"18","US","USKY",4467673,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"19","US","USLA",4648794,0.01,0.01,100,0.01,0.01,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"20","US","USMA",6949503,0.0105960264900662,0.0110185185185185,755,0.0110185185185185,0.0105960264900662,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"21","US","USMD",6045680,0.0217391304347826,0.0555555555555556,230,0.0555555555555556,0.0217391304347826,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"22","US","USME",1344212,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"23","US","USMI",9986857,NA,NA,45,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"24","US","USMN",5639632,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"25","US","USMO",6137428,NA,NA,4,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"26","US","USMS",2976149,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"27","US","USMT",1068778,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
