"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","sumreach_regs","p_w_regs","p_m_regs","population_country","p_w_country_only","p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","p_w_country","p_m_country"
"1","US","USAK",731545,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"2","US","USAL",4903185,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"3","US","USAR",3017825,NA,NA,10,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"4","US","USAZ",7278717,NA,NA,31,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"5","US","USCA",39512223,0.00652173913043478,0.005,460,0.00652173913043478,0.005,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"6","US","USCO",5758736,NA,NA,30,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"7","US","USCT",3565287,0.01,0.01,100,0.01,0.01,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"8","US","USDC",705749,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"9","US","USDE",973764,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"10","US","USFL",21477737,0.00769230769230769,0.0133333333333333,260,0.00769230769230769,0.0133333333333333,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"11","US","USGA",10617423,NA,NA,20,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"12","US","USHI",1415872,NA,NA,10,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"13","US","USIA",3155070,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"14","US","USID",1787065,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"15","US","USIL",12671821,NA,NA,100,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"16","US","USIN",6732219,NA,NA,28,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"17","US","USKS",2913314,0,0,100,0,0,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"18","US","USKY",4467673,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"19","US","USLA",4648794,0.025,0.055,120,0.025,0.055,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"20","US","USMA",6949503,0.0142857142857143,0.025,70,0.0142857142857143,0.025,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"21","US","USMD",6045680,0.0384615384615385,0.0833333333333333,130,0.0384615384615385,0.0833333333333333,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"22","US","USME",1344212,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"23","US","USMI",9986857,0.016,0.0222222222222222,125,0.016,0.0222222222222222,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"24","US","USMN",5639632,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"25","US","USMO",6137428,NA,NA,4,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"26","US","USMS",2976149,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"27","US","USMT",1068778,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"28","US","USNC",10488084,0,0,150,0,0,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"29","US","USND",762062,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"30","US","USNE",1934408,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"31","US","USNH",1359711,0,0,100,0,0,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"32","US","USNJ",8882190,0,0,110,0,0,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"33","US","USNM",2096829,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"34","US","USNV",3080156,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"35","US","USNY",19453561,0.0285714285714286,0.05625,210,0.0285714285714286,0.05625,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"36","US","USOH",11689100,NA,NA,20,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"37","US","USOK",3956971,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"38","US","USOR",4217737,0.131578947368421,0.0666666666666667,76,0.131578947368421,0.0666666666666667,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"39","US","USPA",12801989,NA,NA,30,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"40","US","USRI",1059361,0,0,150,0,0,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"41","US","USSC",5148714,0,0,100,0,0,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"42","US","USSD",884659,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"43","US","USTN",6833174,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"44","US","USTX",28995881,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"45","US","USUT",3205958,0.00666666666666667,0.00666666666666667,150,0.00666666666666667,0.00666666666666667,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"46","US","USVA",8535519,0.1,0.1,100,0.1,0.1,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"47","US","USVT",623989,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"48","US","USWA",7614893,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"49","US","USWI",5822434,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"50","US","USWV",1792147,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
"51","US","USWY",578759,NA,NA,0,NA,NA,328300544,0.00452488687782805,0.0125,221,0.00929658937507426,0.0119558501405922,2794,0.008946822790699,0.0119957364155272
