"Timestamp","Por favor, elige una comunidad autónoma.","¿Cuánta gente conoces en ese área geográfica?","Por lo que sabes, ¿cuánta de esta gente ha presentado síntomas compatible con COVID-19 (o han sido diagnosticados con la enfermedad)?"
"2020/03/30 12:03:16 AM GMT+2","Comunidad de Madrid","150","20"
"2020/03/30 12:25:21 AM GMT+2","Cataluña","40","4"
"2020/03/30 1:42:06 AM GMT+2","Comunidad de Madrid","25","3"
"2020/03/30 2:08:29 AM GMT+2","Comunidad de Madrid","50","1"
"2020/03/30 8:06:25 AM GMT+2","Comunidad de Madrid","150","8"
"2020/03/30 8:44:52 AM GMT+2","Comunidad de Madrid","50","2"
"2020/03/30 9:36:58 AM GMT+2","Comunidad de Madrid","170","5"
"2020/03/30 9:38:38 AM GMT+2","Comunidad de Madrid","100","10"
"2020/03/30 9:38:40 AM GMT+2","Aragón","200","20"
"2020/03/30 9:53:14 AM GMT+2","Comunidad de Madrid","100","5"
"2020/03/30 9:58:47 AM GMT+2","Castilla y León","30","3"
"2020/03/30 10:31:19 AM GMT+2","Castilla y León","30","1"
"2020/03/30 10:37:49 AM GMT+2","Baleares","100","9"
"2020/03/30 10:50:17 AM GMT+2","Comunidad de Madrid","100","3"
"2020/03/30 10:56:50 AM GMT+2","Todo el país","100","10"
"2020/03/30 11:07:28 AM GMT+2","Comunidad de Madrid","50","05"
"2020/03/30 11:43:57 AM GMT+2","Comunidad de Madrid","400","3"
"2020/03/30 11:44:12 AM GMT+2","Andalucía","20","0"
"2020/03/30 12:12:03 PM GMT+2","Comunidad de Madrid","50","20"
"2020/03/30 12:38:19 PM GMT+2","Principado de Asturias","10","0"
"2020/03/30 12:39:48 PM GMT+2","Comunidad de Madrid","100","2"
"2020/03/30 12:56:35 PM GMT+2","Comunidad de Madrid","50","6"
"2020/03/30 1:19:43 PM GMT+2","Comunidad de Madrid","200","10"
"2020/03/30 1:44:54 PM GMT+2","Comunidad de Madrid","125","7"
"2020/03/30 1:50:03 PM GMT+2","Andalucía","100","1"
"2020/03/30 1:55:03 PM GMT+2","Castilla-La Mancha","1000","7"
"2020/03/30 1:55:28 PM GMT+2","Comunidad de Madrid","175","10"
"2020/03/30 1:55:31 PM GMT+2","Comunidad de Madrid","50","3"
"2020/03/30 1:56:45 PM GMT+2","Comunidad de Madrid","100","5"
"2020/03/30 1:59:14 PM GMT+2","Comunidad de Madrid","200","020"
"2020/03/30 2:06:38 PM GMT+2","Todo el país","100","10"
"2020/03/30 2:13:08 PM GMT+2","Cataluña","40","1"
"2020/03/30 2:26:20 PM GMT+2","Comunidad de Madrid","50","0"
"2020/03/30 2:26:27 PM GMT+2","Comunidad de Madrid","30","0"
"2020/03/30 2:27:58 PM GMT+2","Comunidad de Madrid","50","4"
"2020/03/30 2:29:32 PM GMT+2","Castilla y León","250","8"
"2020/03/30 2:32:38 PM GMT+2","Comunidad de Madrid","100","9"
"2020/03/30 2:33:06 PM GMT+2","Comunidad de Madrid","100","6"
"2020/03/30 2:36:49 PM GMT+2","Comunidad de Madrid","80","4"
"2020/03/30 2:39:32 PM GMT+2","Comunidad de Madrid","80","2"
